Método,Class,Number of grains,Percentage (%),cumulative frequency,Number of grains
Número de harmônicos,0–70,416,"40,08","40,08",
Número de harmônicos,71–100,146,"14,07","54,14",
Número de harmônicos,101–150,262,"25,24","79,38",
Número de harmônicos,151–170,214,"20,62",100,
Número de harmônicos,>170,0,0,100,
Circularidade,0.0–0.2,1,"0,1","0,1",
Circularidade,0.2–0.4,48,"4,62","4,72",
Circularidade,0.4–0.6,332,"31,98","36,71",
Circularidade,0.6–0.8,531,"51,16","87,86",
Circularidade,0.8–1.0,124,"11,95","99,81",
Arredondamento,0.30–0.50,2,"0,19","0,19",
Arredondamento,0.50–0.70,151,"14,55","14,74",
Arredondamento,0.70–0.85,592,"57,03","71,77",
Arredondamento,0.85–1.00,291,"28,03","99,81",
Regularidade,0.00–0.25,0,0,0,
Regularidade,0.25–0.50,0,0,0,
Regularidade,0.50–0.75,4,"0,39","0,39",
Regularidade,0.75–1.00,974,"93,83","94,22",
Wadell,Muito baixa,,"16,28","16,28",169
Wadell,Baixa,,"48,65","64,93",505
Wadell,Moderada,,"30,54","95,47",317
Wadell,Alta,,"4,34","99,81",45
Wadell,Muito alta,,"0,19",100,2
Powers,Angular,,0,0,0
Powers,Subangular,,0,0,0
Powers,Subrounded,,0,0,0
Powers,Rounded,,100,100,1038
Folk,Immature,,0,0,0
Folk,Submature,,"0,1","0,1",1
Folk,Mature,,"6,45","6,55",67
Folk,Supermature,,"93,45",100,970
