Grão 1 | Harmônicos: 160 | R²: 0.9990
Grão 2 | Harmônicos: 29 | R²: 0.9990
Grão 3 | Harmônicos: 172 | R²: 0.9990
Grão 4 | Harmônicos: 179 | R²: 0.9996
Grão 5 | Harmônicos: 162 | R²: 0.9990
Grão 6 | Harmônicos: 18 | R²: 0.9991
Grão 7 | Harmônicos: 168 | R²: 0.9990
Grão 8 | Harmônicos: 67 | R²: 0.9991
Grão 9 | Harmônicos: 139 | R²: 0.9990
Grão 11 | Harmônicos: 143 | R²: 0.9991
Grão 12 | Harmônicos: 162 | R²: 0.9990
Grão 13 | Harmônicos: 114 | R²: 0.9990
Grão 14 | Harmônicos: 160 | R²: 0.9991
Grão 15 | Harmônicos: 162 | R²: 0.9991
Grão 16 | Harmônicos: 172 | R²: 0.9992
Grão 18 | Harmônicos: 29 | R²: 0.9990
Grão 19 | Harmônicos: 95 | R²: 0.9990
Grão 20 | Harmônicos: 36 | R²: 0.9991
Grão 21 | Harmônicos: 124 | R²: 0.9990
Grão 22 | Harmônicos: 168 | R²: 0.9991
Grão 23 | Harmônicos: 178 | R²: 0.9993
Grão 24 | Harmônicos: 76 | R²: 0.9373
Grão 25 | Harmônicos: 96 | R²: 0.9990
Grão 26 | Harmônicos: 74 | R²: 0.9990
Grão 27 | Harmônicos: 171 | R²: 0.9990
Grão 28 | Harmônicos: 77 | R²: 0.9990
Grão 29 | Harmônicos: 178 | R²: 0.9995
Grão 30 | Harmônicos: 38 | R²: 0.9990
Grão 31 | Harmônicos: 162 | R²: 0.9991
Grão 32 | Harmônicos: 132 | R²: 0.9990
Grão 33 | Harmônicos: 108 | R²: 0.9990
Grão 34 | Harmônicos: 145 | R²: 0.9991
Grão 35 | Harmônicos: 175 | R²: 0.9992
Grão 36 | Harmônicos: 48 | R²: 0.9991
Grão 37 | Harmônicos: 138 | R²: 0.9963
Grão 39 | Harmônicos: 170 | R²: 0.9990
Grão 40 | Harmônicos: 50 | R²: 0.9991
Grão 41 | Harmônicos: 178 | R²: 0.9994
Grão 42 | Harmônicos: 116 | R²: 0.9990
Grão 43 | Harmônicos: 177 | R²: 0.9990
Grão 46 | Harmônicos: 156 | R²: 0.9990
Grão 47 | Harmônicos: 26 | R²: 0.9986
Grão 48 | Harmônicos: 4 | R²: 0.9345
Grão 49 | Harmônicos: 174 | R²: 0.9991
Grão 50 | Harmônicos: 123 | R²: 0.9990
Grão 51 | Harmônicos: 36 | R²: 0.9991
Grão 52 | Harmônicos: 163 | R²: 0.9991
Grão 53 | Harmônicos: 106 | R²: 0.9990
Grão 54 | Harmônicos: 32 | R²: 0.9993
Grão 55 | Harmônicos: 79 | R²: 0.9990
Grão 56 | Harmônicos: 64 | R²: 0.9990
Grão 57 | Harmônicos: 34 | R²: 0.9990
Grão 58 | Harmônicos: 136 | R²: 0.9991
Grão 59 | Harmônicos: 84 | R²: 0.9990
Grão 60 | Harmônicos: 171 | R²: 0.9991
