label,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,equivalent_diameter,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,circularity
1,659,"149,083261120685","0,935436850877876","0,819651741293532","0,578070175438597","53,9552727102946","19,0728567753249","28,9666163018823","6,72837632776935","88,4779969650986",0,58,19,118,"0,372595418389799"
2,1103,"148,468037431535","0,780695448744755","0,853715170278638","0,70344387755102","49,4998088933648","30,9330090722265","37,4751013053052","14,0054397098821","140,634632819583",0,118,32,167,"0,628810001923401"
3,321,"70,2842712474619","0,635553168010235","0,933139534883721","0,727891156462585","23,2581157661866","17,9565934847929","20,2165747311454","9,12461059190031","242,573208722741",0,232,21,253,"0,816579746780849"
4,525,"145,704581464245","0,956096935201657","0,747863247863248","0,502392344497608","54,8504157623262","16,0739469066562","25,8544147291321","5,13333333333333","354,398095238095",0,325,19,380,"0,310758310725377"
5,680,"100,526911934581","0,750829399902627","0,975609756097561","0,84472049689441","36,7179896839291","24,2520921583129","29,4245287204385","10,3014705882353","410,639705882353",0,395,23,430,"0,84557881407338"
6,874,"235,78174593052","0,98984348686896","0,628324946081955","0,464893617021277","112,83898466658","16,0413511514492","33,3588273489721","5,2254004576659","490,224256292906",0,450,20,544,"0,197560873698048"
7,328,"72,0416305603426","0,80746588669551","0,950724637681159","0,809876543209877","26,9301310259724","15,8864684909993","20,4358158798012","7,61890243902439","875,100609756098",0,862,15,889,"0,794175783099721"
8,311,"88,8050865276332","0,941002639438166","0,81413612565445","0,554367201426025","37,3268866146077","12,6313893415426","19,8991833604456","6,18971061093248","933,514469453376",0,916,17,949,"0,495558088992828"
9,596,"108,526911934581","0,75488203402438","0,868804664723032","0,630687830687831","35,6700451486886","23,3945768889618","27,5472461175733","8,85402684563758","996,993288590604",0,979,27,1014,"0,635888883145439"
10,956,"136,325901807805","0,669633880098308","0,880294659300184","0,685304659498208","42,0560287279308","31,2346494667691","34,88863718701","14,1066945606695","1074,42468619247",0,1049,31,1094,"0,646414363136812"
11,340,"88,5269119345812","0,89146098332207","0,858585858585859","0,523076923076923","32,8681211180161","14,8924624458427","20,8062837914404","9,98823529411765","1253,64705882353",0,1242,26,1267,"0,5451777851068"
12,182,"68,5269119345812","0,932797994649852","0,755186721991701","0,395652173913043","27,4490679211863","9,89263422245851","15,2226672151039","8,26373626373626","640,252747252747",0,631,20,654,"0,487033606012401"
